Comment,Designator,Footprint

"1uF","C1, C4","Cap 0402"
"100nF","C2, C3, C5, C6, C7, C8, C9, C10, C11, C14, C15","Cap 0402"
"10uF","C12, C13, C18","Cap 0402"
"27pF","C16, C17","Cap 0402"
"Micro_USB","J1","USB-MICRO-B_V"
"1x2 Pins","P1","1x2 pins"
"27.4O","R1, R2","Res 0402"
"10KO","R3, R4","Res 0402"
"DNF","R5","Res 0402"
"1KO","R6, R7","Res 0402"
"RP2040","U1","RP2040"
"NCP1117","U2","NCP1117"
"SHT45","U3","SHT45"
"W25Q128JVSIQ","U4","W25Q128"
"ABLS-12.000MHZ-B4-T","Y1","XTAL_ABLS-12.000MHZ-B4-T"
